"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1955,"sst",0.0607612990196068
"ACCESS-CM2","ssp126","r1i1p1f1",1955,"land_tas",0.216690588235281
"ACCESS-CM2","ssp126","r1i1p1f1",1956,"global_tas",0.0387299268532502
"ACCESS-CM2","ssp126","r1i1p1f1",1956,"sst",0.032129549019608
"ACCESS-CM2","ssp126","r1i1p1f1",1956,"land_tas",-0.0546594117647601
"ACCESS-CM2","ssp126","r1i1p1f1",1957,"global_tas",0.153481900153679
"ACCESS-CM2","ssp126","r1i1p1f1",1957,"sst",0.148885215686274
"ACCESS-CM2","ssp126","r1i1p1f1",1957,"land_tas",0.124590588235264
"ACCESS-CM2","ssp126","r1i1p1f1",1958,"global_tas",0.12247188080255
"ACCESS-CM2","ssp126","r1i1p1f1",1958,"sst",0.150121465686276
"ACCESS-CM2","ssp126","r1i1p1f1",1958,"land_tas",-0.00541941176470573
"ACCESS-CM2","ssp126","r1i1p1f1",1959,"global_tas",0.212291930754077
"ACCESS-CM2","ssp126","r1i1p1f1",1959,"sst",0.101763715686275
